token,label
mRNA,I
,O
and,O
on,O
the,O
final,O
DMPK,B
protein,I
levels,I
in,O
the,O
presence,O
of,O
the,O
expansion,O
The,O
DM,B-Disease
region,I-Disease
of,O
chromosome,B-Disease
19,I-Disease
is,O
gene,B-Disease
rich,I-Disease
,O
and,O
it,O
is,O
possible,O
that,O
the,O
repeat,B-Disease
expansion,I-Disease
may,O
lead,O
to,O
dysfunction,B-Disease
of,I-Disease
a,O
number,O
of,O
transcription,B-Disease
units,I-Disease
in,O
the,O
vicinity,B-Disease
,O
perhaps,O
as,O
a,O
consequence,B-Disease
of,I-Disease
chromatin,B-Disease
disruption,I-Disease
.,O
We,O
have,O
searched,O
for,O
genes,B-Disease
associated,I-Disease
with,O
a,O
CpG,B-Disease
island,I-Disease
at,O
the,O
3,O
end,O
of,O
DMPK,B-Disease
.,O
Sequencing,B-Disease
of,I-Disease
this,O
region,B-Disease
shows,O
that,O
the,O
island,B-Disease
extends,I-Disease
over,O
3,O
kb,O
and,O
is,O
interrupted,O
by,O
the,O
(CTG)n,B-Disease
repeat,I-Disease
.,O
centromeric,O
Comparison,O
of,O
genomic,O
sequences,O
downstream,O
( ,O
centromeric,B
) ,O
of,O
the,O
repeat,O
in,O
human,B
and,O
mouse,B
identified,O
regions,O
of,O
significant,O
homology,O
,O
These,O
correspond,O
to,O
exons,O
of,O
a,O
gene,B
predicted,O
to,O
encode,O
a,O
homeodomain,I
protein,I
,O
RT,O
-,O
PCR,O
analysis,O
shows,O
that,O
this,B
gene,B
,O
which,O
we,O
have,O
called,O
DM,B
locus-,I
associated,O
homeodomain,B
protein,I
( ,O
DMAHP,B
),O
is,O
expressed,O
in,O
a,O
number,O
of,O
human,B
tissues,O
,O
including,O
skeletal,B
muscle,I
,O
heart,B
and,O
brain,B
,O
RB1,B
hereditary,B
retinoblastoma,I
,O
familial,B
or,O
sporadic,B
bilateral,I
retinoblastoma,I
,O
RB1,B
gene,I
in,O
patients,B
with,O
hereditary,B
retinoblastoma,I
.,O
We,B
have,O
analyzed,O
the,O
27,B
exons,I
and,O
the,O
promoter,B
region,I
of,O
the,O
RB1,B
gene,I
in,O
familial,B
or,O
sporadic,B
bilateral,I
retinoblastoma,I
by,O
using,O
single,B
-,O
strand,B
conformation,I
polymorphism,I
analysis,I
For,B
improvement,O
over,O
previous,B
studies,I
,O
a,B
new,I
set,I
of,O
primers,B
has,O
been,O
designed,O
,O
which,B
allow,O
for,O
amplification,B
of,O
the,O
coding,B
and,O
splicing,B
sequences,I
only,O
The,O
positioning,O
of,O
the,O
polymerase,B
chain,I
reaction,I
(,O
PCR,B
(,O
primers,B
was,O
such,O
that,O
the,O
resulting,O
PCR,B
products,I
were,O
of,O
different,O
sizes,O
,O
which,O
enabled,O
us,O
to,O
analyze,O
two,B
different,I
exons,I
simultaneously,O
and,O
still,O
distinguish,O
between,O
the,O
banding,O
profiles,O
for,O
both,B
(,O
biplex,B
analysis,I
,O
By,O
using,O
this,O
approach,O
,O
we,O
were,O
able,O
to,O
identify,O
mutation,O
in,O
22,I
new,I
patients,I
,O
but,O
the,O
overall,O
efficiency,O
of,O
the,O
procedure,O
when,O
we,O
used,O
a,O
single,O
pass,O
regimen,O
was,O
only,O
48,B
%,I
The,O
mutations,O
were,O
small,O
insertions,O
and,O
deletions,O
and,O
point,O
mutations,O
in,O
roughly,O
equal,O
proportions,O
.,O
Type,B
II,I
human,I
complement,I
C2,I
deficiency,I
.,O
Allele-specific,O
amino,O
acid,O
substitutions,O
-,O
-,O
-,O
Ser189,B
-,I
Phe,E
-,O
Gly444,B
-,I
Arg,E
-,O
cause,O
impaired,O
C2,B
secretion,I
.,O
Type,B
II,I
complement,I
protein,I
C2,I
deficiency,I
is,O
characterized,O
by,O
a,O
selective,O
block,O
in,O
C2,B
secretion,I
.,O
The,O
Type,B
II,I
C2,B
null,I
allele,I
(,O
C2Q0,B
),O
is,O
linked,O
to,O
two,O
major,O
histocompatibility,O
haplotypes,O
MHC,B
of,O
the,O
more,O
common,O
I,I
deficiency,O
.,O
To,O
determine,O
molecular,O
basis,O
genes,O
were,O
isolated,O
and,O
transfected,O
separately,O
into,O
L,O
-,O
cells,O
Subsequent,O
molecular,O
biology,O
,O
biosynthetic,O
,O
and,O
immunofluorescence,O
studies,O
demonstrated,O
that,O
C2,B
secretion,I
is,O
impaired,O
in,O
Type,B
II,I
C2,B
deficiency,I
because,O
of,O
different,O
missense,O
mutations,O
at,O
highly,O
conserved,O
residues,O
in,O
each,O
of,O
the,O
C2Q0,B
alleles,I
,O
One,O
is,O
in,O
exon,O
5,I
,O
nucleotide,O
C566,B
,O
,O
T,I
,O
Ser189,B
,O
,O
Phe,I
of,O
the,O
C2Q0,B
gene,I
linked,O
to,O
the,O
MHC,B
haplotype,I
"A11,",B
G1930,B
exon,I
C2Q0,B
gene,I
linked,B
to,I
MHC,B
haplotype,I
A2,I
B5,I
DRw4,I
BFS,I
C4A3B1,I
Each,B
mutant,B
C2,I
gene,I
product,B
retained,B
early,B
secretory,B
pathway,I
These,B
mutants,B
provide,B
models,B
elucidating,B
C2,I
secretory,I
pathway,I
Defective,B
dimerization,B
von,B
factor,B
subunits,B
due,B
to,I
Cys,I
Arg,I
mutation,B
type,I
IID,I
von,I
disease,I
The,O
same,O
heterozygous,O
T,B
-,I
-,I
C,I
transition,I
at,O
nt,O
8567,B
of,O
the,B
von,I
Willebrand,I
factor,I
(,O
vWF,I
),O
was,O
found,O
in,O
two,O
unrelated,O
patients,O
with,O
type,O
IID,B
von,I
Willebrand,I
disease,I
,O
with,O
no,O
other,O
apparent,O
abnormality,O
.,O
In,O
one,O
family,O
,O
both,O
alleles,O
were,O
normal,O
in,O
the,B
parents,I
and,O
one,O
sister,O
,O
thus,O
,O
the,B
mutation,I
originated,I
de,B
novo,I
,O
the,B
proposita,I
.,O
The,O
second,B
patient,I
also,O
had,O
asymptomatic,B
parents,I
who,O
,O
however,O
,O
were,O
not,O
available,B
for,O
study,O
The,O
structural,B
consequences,I
of,O
the,O
identified,B
mutation,I
,O
resulting,B
in,O
the,O
CyS2010,B
->,O
Arg,B
substitution,I
were,O
evaluated,B
by,O
expression,B
of,O
the,O
vWF,B
carboxyl,B
terminal,I
domain,I
containing,B
residues,I
1366,B
2050,I
.,O
vWF,B
sequence,I
expressing,I
normal,B
vWF,I
dimeric,B
molecule,I
with,I
an,B
apparent,I
molecular,I
mass,I
of,I
150,B
kDa,I
before,B
reduction,B
yielding,B
a,B
single,B
band,I
of,I
80,B
kDa,I
after,B
disulfide,B
bond,I
reduction,B
in,B
contrast,B
cells,B
expressing,I
the,B
mutant,B
fragment,I
secreted,B
a,B
monomeric,B
molecule,I
of,I
apparent,I
molecular,I
mass,I
of,I
80,B
kDa,I
which,B
remained,B
unchanged,B
after,B
reduction,B
CyS2010,B
CyS2010,I
CyS2010,I
CyS2010,I
CyS2010,I
CyS2010,I
dimerization,B
of,O
vWF,B
subunits,I
through,O
disulfide,B
bonding,I
of,O
carboxyl,B
-,O
terminal,B
domains,I
and,O
a,B
heterozygous,I
mutation,I
in,O
the,O
corresponding,B
codon,I
is,O
responsible,B
for,O
defective,B
multimer,I
formation,I
in,O
type,B
IID,I
von,B
Willebrand,I
disease,I
.,O
Wiskott,B
-,O
Aldrich,B
syndrome,I
protein,B
a,O
novel,B
effector,I
for,O
the,O
GTPase,B
CDC42Hs,I
implicated,B
in,O
actin,B
polymerization,I
The,O
Rho,B
family,I
of,O
GTPases,B
control,O
diverse,O
biological,O
processes,O
,O
including,O
cell,O
morphology,B
and,O
mitogenesis,B
.,O
We,O
have,O
identified,O
WASP,B
,O
the,B
protein,I
that,O
is,O
defective,O
in,O
Wiskott,B
-,O
Aldrich,B
syndrome,I
( ,O
WAS,B
,O
as,O
a,O
novel,O
effector,B
for,O
CDC42Hs,B
,O
but,O
not,O
for,O
the,B
other,O
Rho,B
family,I
members,O
,O
Rac,B
and,O
Rho,B
.,O
This,O
interaction,B
is,O
dependent,O
on,O
the,B
presence,I
of,O
the,B
G,B
protein,I
-,O
binding,B
domain,I
.,O
