token,label
repeat,B
expansion,I
may,O
lead,O
to,O
dysfunction,O
of,O
a,O
number,O
of,O
transcription,B
units,I
in,O
the,O
vicinity,O
",",O
perhaps,O
as,O
a,O
consequence,O
of,O
chromatin,B
disruption,I
.,O
We,O
have,O
searched,O
for,O
genes,O
associated,O
with,O
a,O
CpG,B
island,I
at,O
the,O
3,O
end,O
of,O
DMPK,O
.,O
Sequencing,O
of,O
this,O
region,O
shows,O
that,O
the,O
island,O
extends,O
over,O
3,O
5,B
and,O
is,O
interrupted,O
by,O
the,O
(,O
CTG,B
),O
n,O
repeat,I
DM,B
which,O
we,O
have,O
called,O
DM,I
(,O
DMAHP,I
),O
is,O
expressed,O
in,O
a,O
number,O
of,O
human,B
tissues,I
including,O
skeletal,B
muscle,I
heart,B
and,O
brain,B
.,O
Germline,O
mutations,O
in,O
the,O
RB1,B
gene,I
in,O
patients,O
with,O
hereditary,O
retinoblastoma,B
.,O
We,O
have,O
analyzed,O
the,O
27,O
exons,O
and,O
the,O
promoter,O
region,O
of,O
the,O
RB1,B
gene,I
in,O
familial,O
or,O
sporadic,O
bilateral,O
retinoblastoma,B
.,O
by,O
using,O
single,O
-,O
strand,O
conformation,O
polymorphism,O
analysis,O
.,O
For,O
improvement,O
over,O
previous,O
studies,O
.,O
a,O
new,O
set,O
of,O
primers,O
has,O
been,O
designed,O
.,O
which,O
allow,O
for,O
amplification,O
of,O
the,O
coding,B
and,O
splicing,B
sequences,I
only,O
.,O
The,O
positioning,O
of,O
the,O
polymerase,O
chain,O
reaction,O
(PCR),O
),O
primers,O
was,O
such,O
that,O
the,O
resulting,O
PCR,B
products,I
were,O
of,O
different,O
sizes,O
",",O
which,O
enabled,O
us,O
to,O
analyze,O
two,O
different,O
exons,B
simultaneously,I
and,O
still,O
distinguish,O
between,O
the,O
banding,B
profiles,I
for,O
both,O
(biplex,B
analysis),O
.,O
By,O
using,O
this,O
approach,O
",",O
we,O
were,O
able,O
to,O
identify,O
mutation,B
in,O
22,O
new,O
patients,O
",",O
but,O
the,O
overall,O
efficiency,O
of,O
the,O
procedure,O
when,O
we,O
used,O
a,O
single,O
-pass,O
regimen,O
was,O
only,O
48,O
The,O
mutations,B
were,O
small,O
insertions,B
and,O
deletions,B
and,O
point,O
mutations,I
in,O
roughly,O
equal,O
proportions,I
.,O
Type,B
II,B
human,B
complement,B
C2,B
deficiency,I
.,O
Allele,B
-,O
specific,O
amino,O
acid,O
substitutions,I
(,O
Ser189,B
-,O
-,->
Phe,B
;,O
Gly444,B
-,O
-,->
Arg,B
),O
cause,O
impaired,O
C2,B
secretion,I
.,O
Type,B
II,B
complement,B
protein,B
C2,B
deficiency,I
is,O
characterized,O
by,O
a,O
selective,O
block,O
in,O
C2,B
secretion,I
.,O
The,O
To,O
C2,B
secretion,O
is,O
impaired,O
in,O
Type,O
II,O
C2,B
because,O
of,O
different,O
missense,O
mutations,B
at,O
highly,O
conserved,O
residues,O
in,O
each,O
of,O
the,O
C2Q0,B
alleles,I
.,O
One,O
is,O
in,O
exon,B
5,I
( nucleotide,O
C566,O
-,O
->,O
T,O
;,O
Ser189,O
-,O
->,O
Phe,O
),O
of,O
the,O
C2Q0,B
gene,I
linked,O
to,O
the,O
MHC,B
haplotype,I
A11,O
B35,O
Drw1,O
BFS,O
C4A0B1,O
The,O
other,O
is,O
in,O
exon,B
11,O
(,O
G1930,B
- - >,O
A,I
;,O
Gly444,B
- - >,O
Arg,I
),O
of,O
the,O
C2Q0,B
gene,I
linked,O
to,O
the,O
MHC,B
haplotype,I
A2,B
",",O
B5,B
",",O
DRw4,B
",",O
BFS,B
",",O
C4A3B1,B
.,O
Each,O
mutant,O
C2,B
gene,I
product,O
is,O
retained,O
early,O
in,O
the,O
secretory,O
pathway,O
.,O
Defective,O
dimerization,O
of,O
von,O
Willebrand,O
factor,O
subunits,O
due,O
to,O
a,O
Cys - - >,B
Arg,I
mutation,O
in,O
type,O
IID,B
von,O
Willebrand,O
disease,B
.,O
.,O
Defective,O
dimmerization,O
of,O
von,O
Willebrand,O
factor,O
subunits,O
due,O
to,O
a,O
Cys - - >,B
Arg,I
mutation,O
in,O
type,O
IID,B
von,O
Willebrand,O
disease,B
The,O
same,O
heterozygous,O
T,O
-,O
->,O
C,O
transition,O
at,O
nt,O
8567,O
of,O
the,O
von,O
Willebrand,B
factor,B
(,O
vWF,B
),O
transcript,I
was,O
found,O
in,O
two,O
unrelated,O
patients,O
with,O
type,O
IID,B
von,O
Willebrand,B
disease,I
",",O
with,O
no,O
other,O
apparent,O
abnormality,I
.,O
In,O
one,O
family,O
",",O
both,O
alleles,O
were,O
normal,O
in,O
the,O
parents,O
and,O
one,O
sister,O
;,O
thus,O
the,O
mutation,O
originated,O
de,O
novo,B
in,O
the,O
proposita,O
.,O
The,O
second,O
patient,O
also,O
had,O
asymptomatic,B
parents,B
who,O
",",O
however,O
",",O
were,O
not,O
available,O
for,O
study,B
.,O
Insect,O
cells,O
infected,O
with,O
recombinant,O
baculovirus,O
expressing,O
normal,O
vWF,B
sequence,I
secreted,O
a,O
disulfide,O
linked,O
dimeric,O
molecule,O
with,O
an,O
apparent,O
molecular,O
mass,O
of,O
150,B
kDa,I
before,O
reduction,O
",",O
yielding,O
a,O
single,O
band,O
of,O
80,B
kDa,I
after,O
disulfide,O
bond,O
reduction,I
.,O
In,O
contrast,O
cells,O
expressing,O
the,O
mutant,B
fragment,I
secreted,O
a,O
monomeric,O
molecule,O
of,O
apparent,O
molecular,O
mass,O
of,O
80,B
kDa,I
",",O
which,O
remained,O
unchanged,O
after,O
reduction,O
.,O
We,O
conclude,O
that,O
CyS2010,B
is,O
essential,O
for,O
normal,O
dimerization,B
of,O
vWF,B
subunits,I
through,O
disulfide,O
bonding,O
of,O
carboxyl,O
-,O
terminal,O
domains,I
and,O
that,O
a,O
heterozygous,O
mutation,B
in,O
the,O
corresponding,O
codon,B
is,O
responsible,O
for,O
defective,O
multimer,B
formation,I
in,O
type,O
IID,B
von,O
Willebrand,B
disease,I
.,O
.,O
Wiskott,O
-,O
Aldrich,O
syndrome,B
protein,B
",",O
a,O
novel,O
effector,O
for,O
the,O
GTPase,B
CDC42Hs,B
.,O
is,O
implicated,O
in,O
actin,B
polymerization,I
.,O
.,O
The,O
Rho,O
family,O
of,O
GTPases,O
control,O
diverse,O
biological,O
processes,O
",",O
including,O
cell,O
morphology,O
and,O
mitogenesis,O
.,O
We,O
have,O
identified,O
WASP,B
",",O
the,O
protein,O
that,O
is,O
defective,O
in,O
Wiskott,O
-,O
Aldrich,O
syndrome,O
(WAS),B
",",O
as,O
a,O
novel,O
effector,O
for,O
CDC42Hs,B
",",O
but,O
not,O
for,O
the,O
other,O
Rho,O
family,O
members,O
",",O
Rac,O
and,O
Rho,O
.,O
This,O
interaction,O
is,O
dependent,O
on,O
the,O
presence,O
of,O
the,O
G,O
protein,O
-,O
binding,O
domain,B
.,O
