token,label,label_GPT
vWF,O,B
carboxyl,O,B
-,O,
terminal,O,I
domain,O,I
containing,O,B
residues,O,I
1366,O,B
-,O,
2050,O,I
.,O,O
Insect,O,
cells,O,
infected,O,
with,O,
recombinant,O,
baculovirus,O,
expressing,O,
normal,O,
vWF,O,B
sequence,O,I
secreted,O,I
a,O,B
disulfide,O,I
linked,O,
dimeric,O,B
molecule,O,I
with,O,I
an,O,B
apparent,O,I
molecular,O,I
mass,O,I
of,O,I
150,O,B
kDa,O,I
before,O,B
reduction,O,B
",",O,
yielding,O,B
a,O,B
single,O,B
band,O,I
of,O,I
80,O,B
kDa,O,I
after,O,B
disulfide,O,B
bond,O,I
reduction,O,B
.,O,
In,O,B
contrast,O,B
",",O,
cells,O,B
expressing,O,I
the,O,B
mutant,O,B
fragment,O,I
secreted,O,B
a,O,B
monomeric,O,B
molecule,O,I
of,O,I
apparent,O,I
molecular,O,I
mass,O,I
of,O,I
80,O,B
kDa,O,I
",",O,
which,O,B
remained,O,B
unchanged,O,B
after,O,B
reduction,O,B
.,O,B
We,O,I
conclude,O,I
that,O,I
CyS2010,O,I
is,O,I
essential,O,
for,O,
normal,O,
dimerization,O,B
of,O,O
vWF,O,B
subunits,O,I
through,O,O
disulfide,O,B
bonding,O,I
of,O,O
carboxyl,O,B
-,O,O
terminal,O,B
domains,O,I
and,O,O
that,O,
a,O,B
heterozygous,O,I
mutation,O,I
in,O,O
the,O,O
corresponding,O,B
codon,O,I
is,O,O
responsible,O,B
for,O,O
defective,O,B
multimer,O,I
formation,O,I
in,O,O
type,B,B
IID,I,I
von,I,B
Willebrand,I,I
disease,I,I
.,O,O
.,O,
Wiskott,B,B
-,I,O
Aldrich,I,B
syndrome,I,I
protein,O,B
",",O,
a,O,O
novel,O,B
effector,O,I
for,O,O
the,O,O
GTPase,O,B
CDC42Hs,O,I
",",O,
is,O,
implicated,O,B
in,O,O
actin,O,B
polymerization,O,I
.,O,
The,O,O
Rho,O,B
family,O,I
of,O,O
GTPases,O,B
control,O,O
diverse,O,O
biological,O,O
processes,O,O
",",O,O
including,O,O
cell,O,O
morphology,O,B
and,O,O
mitogenesis,O,B
.,O,O
We,O,O
have,O,O
identified,O,O
WASP,O,B
",",O,O
the,O,B
protein,O,I
that,O,O
is,O,O
defective,O,O
in,O,O
Wiskott,B,B
