token,label,label_GPT
a,O,O
heterozygous,O,B
mutation,O,
in,O,O
the,O,O
corresponding,O,B
codon,O,
is,O,O
responsible,O,O
for,O,O
defective,O,B
multimer,O,
formation,O,
in,O,O
type,B,O
IID,I,B
von,I,O
Willebrand,I,B
disease,I,E
.,O,O
.,O,
Wiskott,B,B
-,I,
Aldrich,I,B
syndrome,I,I
protein,O,
",",O,O
a,O,O
novel,O,O
effector,O,B
for,O,O
the,O,O
GTPase,O,O
CDC42Hs,O,B
",",O,
is,O,O
implicated,O,O
in,O,O
actin,O,B
polymerization,O,I
.,O,
The,O,
Rho,O,
family,O,
of,O,
GTPases,O,
control,O,
diverse,O,
biological,O,
processes,O,
",",O,
including,O,
cell,O,
morphology,O,
and,O,
mitogenesis,O,
.,O,
We,O,
have,O,
identified,O,
WASP,O,
",",O,
the,O,
protein,O,
that,O,
is,O,
defective,O,
in,O,
Wiskott,B,
