token,label,label_GPT
baculovirus,O,O
expressing,O,O
normal,O,O
vWF,O,O
sequence,O,O
secreted,O,O
a,O,O
disulfide,O,O
linked,O,O
dimeric,O,O
molecule,O,O
with,O,O
an,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
150,O,O
kDa,O,O
before,O,O
reduction,O,O
",",O,
yielding,O,O
a,O,O
single,O,O
band,O,O
of,O,O
80,O,O
kDa,O,O
after,O,O
disulfide,O,O
bond,O,O
reduction,O,O
.,O,O
In,O,O
contrast,O,O
",",O,
cells,O,O
expressing,O,O
the,O,O
mutant,O,O
fragment,O,O
secreted,O,O
a,O,O
monomeric,O,O
molecule,O,O
of,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
80,O,O
kDa,O,O
",",O,O
which,O,O
remained,O,O
unchanged,O,O
after,O,O
reduction,O,O
.,O,
We,O,O
conclude,O,O
that,O,O
CyS2010,O,O
is,O,B
essential,O,O
for,O,O
normal,O,O
dimerization,O,O
of,O,B
vWF,O,O
subunits,O,B
through,O,I
disulfide,O,O
bonding,O,O
of,O,O
carboxyl,O,O
-,O,O
terminal,O,O
domains,O,O
and,O,O
that,O,O
a,O,O
heterozygous,O,O
mutation,O,O
in,O,B
the,O,O
corresponding,O,O
codon,O,O
is,O,B
responsible,O,O
for,O,O
defective,O,O
multimer,O,O
formation,O,B
in,O,I
type,B,O
IID,I,O
von,I,B
Willebrand,I,O
disease,I,B
.,O,I
.,O,
Wiskott,B,O
-,I,O
Aldrich,I,O
syndrome,I,O
protein,O,B
",",O,B
a,O,O
novel,O,O
effector,O,O
for,O,O
the,O,O
GTPase,O,O
CDC42Hs,O,B
",",O,B
is,O,O
implicated,O,O
in,O,O
actin,O,O
polymerization,O,B
.,O,I
The,O,
Rho,O,O
family,O,B
of,O,O
GTPases,O,O
control,O,O
diverse,O,O
biological,O,O
processes,O,O
",",O,
including,O,O
cell,O,O
morphology,O,O
and,O,O
mitogenesis,O,O
.,O,O
We,O,O
have,O,O
identified,O,O
WASP,O,O
",",O,
the,O,B
protein,O,O
that,O,O
is,O,O
defective,O,O
in,O,O
Wiskott,B,O
