token,label,label_gpt
with,O,O
recombinant,O,O
baculovirus,O,B
expressing,O,O
normal,O,O
vWF,O,B
sequence,O,I
secreted,O,O
a,O,O
disulfide,O,O
linked,O,O
dimeric,O,O
molecule,O,O
with,O,O
an,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
150,O,O
kDa,O,I
before,O,O
reduction,O,O
",",O,O
yielding,O,O
a,O,O
single,O,O
band,O,O
of,O,O
80,O,O
kDa,O,I
after,O,O
disulfide,O,O
bond,O,O
reduction,O,O
.,O,O
In,O,O
contrast,O,O
",",O,
cells,O,O
expressing,O,O
the,O,O
mutant,O,B
fragment,O,I
secreted,O,O
a,O,O
monomeric,O,O
molecule,O,O
of,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
80,O,O
kDa,O,I
",",O,
which,O,O
remained,O,O
unchanged,O,O
after,O,O
reduction,O,O
.,O,O
We,O,O
conclude,O,O
that,O,O
CyS2010,O,B
is,O,O
essential,O,O
for,O,O
normal,O,O
dimerization,O,B
of,O,O
vWF,O,B
subunits,O,I
through,O,O
disulfide,O,B
bonding,O,I
of,O,O
carboxyl,O,B
-,O,O
terminal,O,B
domains,O,I
and,O,O
that,O,O
a,O,O
heterozygous,O,B
mutation,O,I
in,O,O
the,O,O
corresponding,O,O
codon,O,I
is,O,O
responsible,O,O
for,O,O
defective,O,B
multimer,O,B
formation,O,I
in,O,O
type,B,B
IID,I,I
von,I,B
Willebrand,I,
disease,I,I
.,O,O
.,O,
Wiskott,B,B
-,I,O
Aldrich,I,B
syndrome,I,I
protein,O,B
",",O,
a,O,O
novel,O,O
effector,O,O
for,O,O
the,O,O
GTPase,O,B
CDC42Hs,O,I
",",O,
is,O,O
implicated,O,O
in,O,O
actin,O,B
polymerization,O,I
.,O,O
The,O,O
Rho,O,B
family,O,I
of,O,O
GTPases,O,B
control,O,O
diverse,O,O
biological,O,O
processes,O,O
",",O,O
including,O,O
cell,O,O
morphology,O,B
and,O,O
mitogenesis,O,B
.,O,O
We,O,O
have,O,O
identified,O,O
WASP,O,B
",",O,O
the,O,B
protein,O,I
that,O,O
is,O,O
defective,O,O
in,O,O
Wiskott,B,B
