token,label
analyze,
two,
exons,
simultaneously,
and,
still,
distinguish,
between,
banding,
profiles,
for,
both,
biplex,
analysis,
.,
By,
using,
this,
approach,
we,
able,
identify,
mutation,
in,
22,
new,
patients,
but,
overall,
efficiency,
procedure,
when,
used,
a,
single,
-,
pass,
regimen,
only,
48,
%,
Ser189,B
Gly444,B
Type II,B
Allele,B
Ser189,B
Gly444,B
Type II,B
is,O
Type,B
C2,B
C2Q0,B
MHC,O
Type,O
C2,O
The,O
two,O
major,BIO
haplotypes,I
(MHC),O
that,O
differ,O
from,O
the,O
MHC,O
of,O
the,O
more,O
Type,O
C2,O
 .,O
To,O
determine,O
the,O
molecular,BIO
basis,I
of,O
Type,B
the,O
two,O
Type,B
were,O
isolated,O
and,O
transfected,O
separately,O
into,O
L,O
cells,O
C2,O
Subsequent,O
One,O
The,
other,
is,
in,
exon,
11,
(,
G1930,
-,
>,
A,
;,
Gly444,
Arg,
),
of,
the,
C2Q0,
gene,
linked,
to,
MHC,
haplotype,
A2,
",",
B5,
DRw4,
BFS,
C4A3B1,
.,
Each,
mutant,
C2,
product,
retained,
early,
secretory,
pathway,
These,
mutants,
provide,
models,
for,
elucidating,
Defective,
dimerization,
von,
Willebrand,
factor,
subunits,
due,
a,
Cys,
mutation,
type,
IID,
disease,
8567,B
IID,B
von,I
type,O
1,O
IID,I
von,I
,O
no,O
other,O
apparent,O
abnormality,O
.,O
In,O
one,O
family,B
,O
both,B
alleles,I
normal,I
parents,I
and,O
one,O
sister,I
,O
thus,O
the,O
mutation,B
originated,O
de,O
novo,B
in,O
proposita,I
The,
second,
patient,
also,
had,
asymptomatic,
parents,
who,
",",
however,
were,
not,
available,
for,
study,
.,
structural,
consequences,
of,
the,
identified,
mutation,
resulting,
in,
CyS2010,
-,
>,
Arg,
substitution,
evaluated,
by,
expression,
vWF,
carboxyl,
terminal,
domain,
containing,
residues,
1366,
2050,
Insect,
cells,
infected,
with,
recombinant,
baculovirus,
expressing,
normal,
vWF,
sequence,
secreted,
a,
disulfide,
linked,
dimeric,
molecule,
an,
apparent,
molecular,
mass,
of,
150,
kDa,
before,
reduction,
",",
yielding,
single,
band,
80,
after,
bond,
.,
In,
contrast,
the,
mutant,
fragment,
monomeric,
which,
remained,
unchanged,
CyS2010,B
vWF,I
subunits,I
dimerization,O
of,O
vWF,I
through,O
disulfide,B
carboxyl,I
and,O
that,O
a,O
heterozygous,B
in,O
the,O
corresponding,B
is,O
responsible,O
for,O
defective,B
in,O
type,O
IID,B
von,O
Willebrand,B
disease,E
.,O
Wiskott,B
Aldrich,B
syndrome,I
",",O
a,O
novel,O
effector,B
for,O
the,O
GTPase,O
CDC42Hs,B
is,O
implicated,O
in,O
actin,B
polymerization,I
Wiskott,O
WASP,O
WAS,B
,O
CDC42Hs,O
,O
Rac,O
,O
Rho,O
,O
G,O
protein,O
,O
