token,label
transcription,O
units,O
in,O
the,O
vicinity,O
",",O
perhaps,O
as,O
a,O
consequence,O
of,O
chromatin,O
disruption,O
.,O
We,O
have,O
searched,O
for,O
genes,O
associated,O
with,O
a,O
CpG,O
island,B
at,O
the,O
3,O
end,O
of,O
DMPK,O
.,O
Sequencing,O
of,O
this,O
region,O
shows,O
that,O
the,O
island,O
extends,O
over,O
3,O
5,O
kb,O
and,O
is,O
interrupted,O
by,O
the,O
(,O
CTG,B
),O
n,O
repeat,I
DM,B
genomic,O
sequences,O
downstream,O
centromeric,O
of,O
in,O
and,O
identified,O
regions,O
of,O
.,O
these,O
correspond,O
to,O
exons,O
of,O
predicted,O
to,O
a,I
.,O
RT,O
analysis,O
shows,O
that,O
this,O
",",O
which,O
we,O
have,O
called,O
DM,O
(,O
DMAHP,O
),O
",",O
is,O
expressed,O
in,O
a,O
of,O
tissues,O
including,O
skeletal,O
",",O
heart,O
and,O
brain,O
Germline,O
mutations,O
in,O
the,O
RB1,B
gene,O
in,O
patients,O
with,O
hereditary,O
retinoblastoma,B
.,O
We,O
have,O
analyzed,O
the,O
27,O
exons,O
and,O
the,O
promoter,O
region,O
of,O
the,O
RB1,B
gene,O
in,O
familial,O
or,O
sporadic,O
bilateral,O
retinoblastoma,B
.,O
by,O
using,O
single,O
-,O
strand,O
conformation,O
polymorphism,O
analysis,O
.,O
For,O
improvement,O
over,O
previous,O
studies,O
.,O
a,O
new,O
set,O
of,O
primers,O
has,O
been,O
designed,O
.,O
which,O
allow,O
for,O
amplification,O
of,O
the,O
coding,B
and,O
splicing,B
sequences,I
only,O
.,O
BRCA1,B
polymerase,O
chain,O
reaction,O
(,O
PCR,O
),O
/,O
single,O
-,O
strand,O
conformation,O
polymorphism,O
as,O
a,O
screening,O
step,O
and,O
nucleotide,O
sequencing,O
of,O
target,O
exons,O
",",O
we,O
determined,O
that,O
the,O
proband,O
was,O
a,O
compound,O
heterozygote,O
for,O
two,O
C6,B
gene,O
mutations,O
.,O
The,O
patients,O
father,O
and,O
two,O
brothers,O
also,O
had,O
C6D,B
",",O
but,O
gave,O
no,O
history,O
of,O
meningitis,B
or,O
other,O
neisserial,B
infection,I
.,O
By,O
using,O
exon,O
-,O
specific,O
polymerase,O
chain,O
reaction,O
(,O
PCR,O
),O
/,O
single,O
-,O
strand,O
conformation,O
polymorphism,O
as,O
a,O
screening,O
step,O
and,O
nucleotide,O
sequencing,O
of,O
target,O
exons,O
",",O
we,O
determined,O
that,O
the,O
proband,O
was,O
a,O
compound,O
heterozygote,O
for,O
two,O
C6,B
gene,O
mutations,O
.,O
The,O
positioning,O
of,O
the,O
polymerase,O
chain,O
reaction,O
(,O
PCR,O
),O
/,O
single,O
-,O
strand,O
conformation,O
polymorphism,O
as,O
a,O
screening,O
step,O
and,O
nucleotide,O
sequencing,O
of,O
target,O
exons,O
",",O
were,O
of,O
different,O
sizes,O
",",O
which,O
enabled,O
us,O
to,O
analyze,O
two,O
different,O
exons,O
simultaneously,O
and,O
still,O
distinguish,O
between,O
the,O
banding,O
profiles,O
for,O
both,O
(biplex,O
analysis,O
.,O
By,O
using,O
this,O
approach,O
",",O
we,O
were,O
able,O
to,O
identify,O
mutation,O
in,O
22,O
new,O
patients,O
",",O
but,O
the,O
overall,O
efficiency,O
of,O
the,O
procedure,O
when,O
we,O
used,O
a,O
single,O
-pass,O
regimen,O
was,O
only,O
48,O
%,O
The,O
mutations,O
were,O
small,O
insertions,O
and,O
deletions,O
and,O
point,O
mutations,O
in,O
roughly,O
equal,O
proportions,O
.,O
Type,O
II,O
human,O
complement,O
C2,B
deficiency,I
.,O
Allele,O
-,O
specific,O
amino,O
acid,O
substitutions,O
(,O
Ser189,B
-,O
->,O
Phe,I
;,O
Gly444,B
-,O
->,O
Arg,I
),O
cause,O
impaired,O
C2,O
secretion,O
.,O
Type,O
II,O
complement,O
protein,O
C2,B
deficiency,I
is,O
characterized,O
by,O
a,O
selective,O
block,O
in,O
C2,O
secretion,O
.,O
The,O
Type,O
II,O
C2,O
null,O
allele,O
(,O
C2Q0,B
),O
is,O
linked,O
to,O
two,O
major,O
histocompatibility,O
haplotypes,O
(,O
MHC,B
),O
that,O
differ,O
from,O
the,O
MHC,O
of,O
the,O
more,O
common,O
Type,O
I,O
C2,O
deficiency,O
.,O
To,O
determine,O
the,O
molecular,O
basis,O
of,O
Type,O
II,O
deficiency,O
the,O
two,O
Type,O
II,O
C2Q0,B
genes,O
were,O
isolated,O
and,O
transfected,O
separately,O
into,O
L,O
-,O
cells,O
.,O
C2,B
secretion,O
is,O
impaired,O
in,O
Type,O
II,O
C2,O
because,O
of,O
different,O
missense,O
mutations,O
at,O
highly,O
conserved,O
residues,O
in,O
each,O
of,O
the,O
C2Q0,B
alleles,O
One,O
is,O
in,O
exon,O
5,B
( nucleotide,O
C566,O
-,O
->,O
T,O
;,O
Ser189,O
-,O
->,O
Phe,O
),O
of,O
the,O
C2Q0,B
gene,O
linked,O
to,O
the,O
MHC,O
haplotype,O
A11,O
B35,O
DRw1,O
BFS,O
C4A0B1,O
The,O
other,O
is,O
in,O
exon,O
11,O
(,O
G1930,O
-,O
->,O
A,O
;,O
Gly444,O
-,O
->,O
Arg,O
),O
of,O
the,O
C2Q0,B
gene,O
linked,O
to,O
the,O
MHC,O
haplotype,O
A2,B
",",O
B5,B
",",O
DRw4,B
",",O
BFS,B
",",O
C4A3B1,B
.,O
Each,O
mutant,O
C2,O
gene,O
product,O
is,O
retained,O
early,O
in,O
the,O
secretory,O
pathway,O
.,O
These,O
mutants,O
provide,O
models,O
for,O
elucidating,O
the,O
C2,O
secretory,O
pathway,O
.,O
Defective,O
dimerization,O
of,O
von,O
Willebrand,O
factor,O
subunits,O
due,O
to,O
a,O
Cys,O
-,O
->,O
Arg,O
mutation,O
in,O
type,O
IID,B
von,O
Willebrand,O
disease,B
.,O
von,B
factor,O
,O
transcript,O
was,O
found,O
in,O
two,O
unrelated,O
patients,O
with,O
type,O
IID,O
von,B
",",O
with,O
no,O
other,O
apparent,O
abnormality,O
.,O
In,O
one,O
family,O
",",O
both,O
alleles,O
were,O
normal,O
in,O
the,O
parents,O
and,O
one,O
sister,O
,O
thus,O
the,O
mutation,O
originated,O
de,O
novo,O
in,O
the,O
proposita,B
The,O
second,O
patient,O
also,O
had,O
asymptomatic,O
parents,O
who,O
",",O
however,O
",",O
were,O
not,O
available,O
for,O
study,O
.,O
The,O
structural,O
consequences,O
of,O
the,O
identified,O
mutation,O
",",O
resulting,O
in,O
the,O
CyS2010,B
->,O
Arg,B
substitution,I
",",O
were,O
evaluated,O
by,O
expression,O
of,O
the,O
vWF,O
carboxyl,O
-,O
terminal,O
domain,O
containing,O
residues,O
1366,O
-,O
2050,O
.,O
Insect,O
cells,O
infected,O
with,O
recombinant,O
baculovirus,O
expressing,O
normal,O
vWF,O
sequence,O
secreted,O
a,O
disulfide,O
linked,O
dimeric,O
molecule,O
with,O
an,O
apparent,O
molecular,O
mass,O
of,O
150,O
kDa,O
before,O
reduction,O
yielding,O
a,O
single,O
band,O
of,O
80,O
kDa,O
after,O
disulfide,O
bond,O
reduction,O
.,O
In,O
contrast,O
cells,O
expressing,O
the,O
mutant,O
fragment,O
secreted,O
a,O
monomeric,O
molecule,O
of,O
apparent,O
molecular,O
mass,O
of,O
80,O
kDa,O
.,O
which,O
remained,O
unchanged,O
after,O
reduction,O
We,O
conclude,O
that,O
CyS2010,B
is,O
essential,O
for,O
normal,O
dimerization,B
of,O
vWF,B
subunits,I
through,O
disulfide,O
bonding,O
of,O
carboxyl,O
-,O
terminal,O
domains,O
and,O
that,O
a,O
heterozygous,O
mutation,B
in,O
the,O
corresponding,O
codon,B
is,O
responsible,O
for,O
defective,O
multimer,B
formation,I
in,O
type,O
IID,B
von,O
Willebrand,B
disease,I
.,O
Wiskott,O
-,O
Aldrich,O
syndrome,B
protein,B
",",O
a,O
novel,O
effector,O
for,O
the,O
GTPase,B
CDC42Hs,B
",",O
is,O
implicated,O
in,O
actin,B
polymerization,I
.,O
Rho,B
family,O
of,O
GTPases,O
control,O
diverse,O
biological,O
processes,O
including,O
cell,O
morphology,O
and,O
mitogenesis,O
.,O
We,O
have,O
identified,O
WASP,B
the,O
protein,O
that,O
is,O
defective,O
in,O
Wiskott,O
-,O
Aldrich,O
syndrome,O
(WAS),O
",",O
as,O
a,O
novel,O
effector,O
for,O
CDC42Hs,B
but,O
not,O
for,O
the,O
other,O
Rho,O
family,O
members,O
",",O
Rac,O
and,O
Rho,O
.,O
This,O
interaction,O
is,O
dependent,O
on,O
the,O
presence,O
of,O
the,O
G,O
protein,O
-,O
binding,O
domain,O
