token,label
at,O
the,O
3,O
end,O
of,O
DMPK,B
.,O
Sequencing,B
of,O
this,O
region,I
shows,O
that,O
the,O
island,B
extends,O
over,O
3,O
.,O
and,O
is,O
interrupted,O
by,O
the,O
CTG,B
n,O
repeat,I
.,O
The,O
Comparison,O
of,O
genomic,O
sequences,O
downstream,O
(,O
centromeric,O
,O
of,O
the,O
repeat,O
in,O
human,B
and,O
mouse,B
identified,O
regions,O
of,O
significant,O
homology,I
.,O
These,O
correspond,O
to,O
exons,O
of,O
a,O
gene,B
predicted,O
to,O
encode,O
a,O
homeodomain,B
protein,I
.,O
RT,O
-,O
PCR,O
analysis,O
shows,O
that,O
this,O
gene,B
",",O
which,O
we,O
have,O
called,O
DM,O
locus-,O
associated,O
homeodomain,B
protein,I
( DMAHP ),B
",",O
is,O
expressed,O
in,O
a,O
number,O
of,O
human,B
tissues,O
,O
including,O
skeletal,O
muscle,O
,O
heart,O
and,O
brain,O
.,O
The,O
Germline,O
mutations,O
in,O
the,O
RB1,B
gene,I
in,O
patients,B
with,O
hereditary,O
retinoblastoma,I
.,O
We,O
have,O
analyzed,O
the,O
27,O
exons,O
and,O
the,O
promoter,O
region,O
of,O
the,O
RB1,B
gene,I
in,O
familial,B
or,O
sporadic,B
bilateral,B
retinoblastoma,I
by,O
using,O
single,O
-,O
strand,O
conformation,O
polymorphism,O
analysis,O
.,O
For,O
improvement,O
over,O
previous,O
studies,O
,O
a,O
new,O
set,O
of,O
primers,O
has,O
been,O
designed,O
,O
which,O
allow,O
for,O
amplification,O
of,O
the,O
coding,B
and,O
splicing,B
sequences,I
only,O
.,O
The,O
positioning,O
of,O
the,O
polymerase,B
chain,I
reaction,I
(,O
PCR,B
),O
primers,O
was,O
such,O
that,O
the,O
resulting,O
PCR,B
products,I
were,O
of,O
different,O
sizes,O
,O
which,O
enabled,O
us,O
to,O
analyze,O
two,O
different,O
exons,O
simultaneously,O
and,O
still,O
distinguish,O
between,O
the,O
banding,B
profiles,I
for,O
both,O
biplex,I
analysis,I
.,O
By,O
using,O
this,O
approach,O
,O
we,O
were,O
able,O
to,O
identify,O
mutation,B
in,O
22,O
new,O
patients,O
,O
but,O
the,O
overall,O
efficiency,O
of,O
the,O
procedure,O
when,O
we,O
used,O
a,O
single,O
-,O
pass,O
regimen,O
was,O
only,O
48,O
%,O
The,O
mutations,O
were,O
small,O
insertions,B
and,O
deletions,B
and,O
point,B
mutations,I
in,O
roughly,O
equal,O
proportions,O
Type,B
II,I
human,I
complement,I
C2,I
deficiency,I
Allele-,B
specific,I
amino,I
acid,I
substitutions,I
(,O
Ser189,B
-,O
->,O
Phe,B
,O
Gly444,B
-,O
->,O
Arg,B
),O
cause,O
impaired,O
C2,B
secretion,I
Type,B
II,I
complement,I
protein,I
C2,I
deficiency,I
is,O
characterized,O
by,O
a,O
selective,O
block,O
in,O
C2,B
secretion,I
The,O
Type,B
C2,I
deficiency,I
Type,B
C2,I
null,I
allele,I
(,O
C2Q0,B
,O
is,O
to,O
two,O
major,O
histocompatibility,B
haplotypes,I
(,O
MHC,B
,O
that,O
differ,O
from,O
the,O
MHC,B
of,O
the,O
more,O
common,O
Type,B
C2,I
deficiency,I
.,O
To,O
determine,O
the,O
molecular,B
basis,I
of,O
Type,B
deficiency,I
the,O
two,O
Type,B
C2Q0,B
genes,O
were,O
isolated,O
and,O
transfected,O
separately,O
into,O
L,B
cells,I
.,O
Subsequent,O
molecular,O
biology,O
",",O
,O
biosynthetic,O
,O
and,O
immunofluorescence,O
studies,O
demonstrated,O
,O
that,O
C2,B
secretion,I
is,O
impaired,O
in,O
Type,B
II,I
C2,B
deficiency,I
because,O
of,O
different,O
missense,O
mutations,O
at,O
highly,O
conserved,O
residues,O
in,O
each,O
of,O
the,O
C2Q0,B
alleles,I
.,O
,O
One,O
is,O
in,O
exon,B
5,I
nucleotide,B
C566,I
-,O
T,I
S,I
189,I
-,O
Phe,I
of,O
the,O
C2Q0,B
gene,I
linked,O
to,O
the,O
MHC,B
haplotype,I
A11,I
,O
B35,I
,O
DRw1,I
,O
BFS,I
,O
C4A0B1,I
,O
The,O
other,O
is,O
in,O
exon,O
11,B
(,O
G1930,I
-,O
A,I
,O
Gly444,I
-,O
Arg,I
,O
of,O
the,O
C2Q0,B
gene,I
linked,O
to,O
the,O
MHC,B
haplotype,I
A2,I
,O
B5,I
,O
DRw4,I
,O
BFS,I
,O
C4A3B1,I
.,O
Each,O
mutant,O
C2,B
gene,I
product,O
is,O
retained,O
early,O
in,O
the,O
secretory,O
pathway,O
These,O
mutants,O
provide,O
models,O
for,O
elucidating,O
the,O
C2,B
secretory,O
pathway,O
,O
Defective,B
dimerization,I
of,O
von,B
Willebrand,I
factor,I
subunits,I
due,O
to,O
a,O
Cys,I
-,I
Arg,I
mutation,O
in,O
type,O
IID,B
von,B
Willebrand,I
disease,I
.,O
The,O
same,O
heterozygous,O
T,B
->,I
C,B
transition,O
at,O
nt,O
8567,B
of,O
the,O
von,B
Willebrand,I
factor,I
(,O
vWF,B
,I
transcript,O
was,O
found,O
in,O
two,O
unrelated,O
patients,O
with,O
type,O
IID,B
von,B
Willebrand,I
disease,I
,O
no,O
other,O
apparent,O
abnormality,O
.,O
In,O
one,O
family,O
,O
both,O
alleles,O
were,O
normal,O
in,O
the,O
parents,O
and,O
one,O
sister,O
;,O
thus,O
,O
the,O
mutation,O
originated,O
de,O
novo,O
in,O
the,O
proposita,O
.,O
The,O
second,O
patient,B
also,O
had,O
asymptomatic,I
parents,B
who,O
" ,",O
however,O
were,O
not,O
available,O
for,O
study,O
 .,O
The,O
structural,O
consequences,O
of,O
the,O
identified,O
mutation,B
" ,",O
resulting,O
in,O
the,O
CyS2010,B
->,O
Arg,B
substitution,I
" ,",O
were,O
evaluated,O
by,O
expression,O
of,O
the,O
vWF,B
carboxyl,O
-,O
terminal,O
domain,O
containing,O
residues,O
1366,B
-,O
2050,B
 .,O
Insect,O
cells,O
infected,O
with,O
recombinant,O
baculovirus,B
expressing,O
normal,O
vWF,B
sequence,I
secreted,O
a,O
disulfide,O
linked,O
dimeric,O
molecule,O
with,O
an,O
apparent,O
molecular,O
mass,O
of,O
150,O
kDa,I
before,O
reduction,O
",",O
yielding,O
a,O
single,O
band,O
of,O
80,O
kDa,I
after,O
disulfide,O
bond,O
reduction,O
.,O
In,O
contrast,O
cells,O
expressing,O
the,O
mutant,B
fragment,I
secreted,O
a,O
monomeric,O
molecule,O
of,O
apparent,O
molecular,O
mass,O
of,O
80,O
kDa,I
which,O
remained,O
unchanged,O
after,O
reduction,O
.,O
The,O
conclude,O
that,O
CyS2010,B
is,O
essential,O
for,O
normal,O
dimerization,B
of,O
vWF,B
subunits,I
through,O
disulfide,B
bonding,I
of,O
carboxyl,B
-,O
terminal,B
domains,I
and,O
that,O
a,O
heterozygous,B
mutation,I
in,O
the,O
corresponding,O
codon,I
is,O
responsible,O
for,O
defective,B
multimer,B
formation,I
in,O
type,B
IID,I
von,B
disease,I
..,O
Wiskott,B
-,O
Aldrich,B
syndrome,I
protein,B
a,O
novel,O
effector,O
for,O
the,O
GTPase,B
CDC42Hs,I
is,O
implicated,O
in,O
actin,B
polymerization,I
.,O
The,O
Rho,B
family,I
of,O
GTPases,B
control,O
diverse,O
biological,O
processes,O
,O
including,O
cell,O
morphology,B
and,O
mitogenesis,B
.,O
We,O
have,O
identified,O
WASP,B
,O
the,B
protein,I
that,O
is,O
defective,O
in,O
Wiskott,B
-,O
Aldrich,B
syndrome,I
(,O
WAS,B
),O
as,O
a,O
novel,O
effector,O
for,O
CDC42Hs,B
,O
but,O
not,O
for,O
the,B
other,O
Rho,B
family,I
members,O
,O
Rac,B
and,O
Rho,B
.,O
This,O
interaction,O
is,O
dependent,O
on,O
the,B
presence,O
of,O
the,B
G,B
protein,I
-,O
binding,O
domain,O
.,O
