token,label,label_GPT
with,O,O
an,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
150,O,B
kDa,O,I
before,O,O
reduction,O,O
",",O,O
yielding,O,O
a,O,O
single,O,O
band,O,O
of,O,O
80,O,B
kDa,O,I
after,O,O
disulfide,O,O
bond,O,O
reduction,O,I
.,O,O
In,O,O
contrast,O,O
",",O,
cells,O,O
expressing,O,O
the,O,O
mutant,O,B
fragment,O,I
secreted,O,O
a,O,O
monomeric,O,O
molecule,O,O
of,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
80,O,B
kDa,O,I
",",O,O
which,O,O
remained,O,O
unchanged,O,O
after,O,O
reduction,O,O
.,O,O
We,O,O
conclude,O,O
that,O,O
CyS2010,O,B
is,O,O
essential,O,O
for,O,O
normal,O,O
dimerization,O,B
of,O,O
vWF,O,B
subunits,O,I
through,O,O
disulfide,O,O
bonding,O,O
of,O,O
carboxyl,O,O
-,O,O
terminal,O,O
domains,O,I
and,O,O
that,O,O
a,O,O
heterozygous,O,O
mutation,O,B
in,O,O
the,O,O
corresponding,O,O
codon,O,B
is,O,O
responsible,O,O
for,O,O
defective,O,O
multimer,O,B
formation,O,I
in,O,O
type,B,O
IID,I,B
von,I,O
Willebrand,I,B
disease,I,I
.,O,O
.,O,O
Wiskott,B,O
-,I,O
Aldrich,I,O
syndrome,I,B
protein,O,B
",",O,O
a,O,O
novel,O,O
effector,O,O
for,O,O
the,O,O
GTPase,O,B
CDC42Hs,O,B
",",O,O
is,O,O
implicated,O,O
in,O,O
actin,O,B
polymerization,O,I
.,O,O
The,O,O
Rho,O,O
family,O,O
of,O,O
GTPases,O,O
control,O,O
diverse,O,O
biological,O,O
processes,O,O
",",O,O
including,O,O
cell,O,O
morphology,O,O
and,O,O
mitogenesis,O,O
.,O,O
We,O,O
have,O,O
identified,O,O
WASP,O,B
",",O,O
the,O,O
protein,O,O
that,O,O
is,O,O
defective,O,O
in,O,O
Wiskott,B,O
